[2021-07-02 04:31:09]: Dan.XD | 64238206 | 217.241.133.189 | 3656484285 | 255E2278A465D555 | 2692627528763692373 : was detected for Ang-NAME_Spoof
[2021-07-02 04:31:09]: Dan.XD | 64238206 | 217.241.133.189 | 3656484285 | 255E2278A465D555 | 2692627528763692373 : was detected for Ang-IP_Spoof
[2021-07-02 04:31:09]: crystal017 | 191276527 | 151.249.79.57 | 2549698361 | 60BF6097B5BE3464 | 6971396952898286692 : was detected for Ang-IP_Spoof
[2021-07-02 04:31:09]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 04:31:09]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 04:31:09]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 04:31:09]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 04:33:21]: Dan.XD | 64238206 | 217.241.133.189 | 3656484285 | 255E2278A465D555 | 2692627528763692373 : was detected for Ang-NAME_Spoof
[2021-07-02 04:33:21]: Dan.XD | 64238206 | 217.241.133.189 | 3656484285 | 255E2278A465D555 | 2692627528763692373 : was detected for Ang-IP_Spoof
[2021-07-02 04:33:21]: crystal017 | 191276527 | 151.249.79.57 | 2549698361 | 60BF6097B5BE3464 | 6971396952898286692 : was detected for Ang-IP_Spoof
[2021-07-02 04:33:21]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
[2021-07-02 04:33:21]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-SCID_Spoof
[2021-07-02 04:33:21]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-IP_Spoof
[2021-07-02 04:33:21]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-HOST_Spoof
[2021-07-02 04:40:59]: Dan.XD | 64238206 | 217.241.133.189 | 3656484285 | 255E2278A465D555 | 2692627528763692373 : was detected for Ang-NAME_Spoof
[2021-07-02 04:40:59]: Dan.XD | 64238206 | 217.241.133.189 | 3656484285 | 255E2278A465D555 | 2692627528763692373 : was detected for Ang-IP_Spoof
[2021-07-02 04:40:59]: crystal017 | 191276527 | 151.249.79.57 | 2549698361 | 60BF6097B5BE3464 | 6971396952898286692 : was detected for Ang-IP_Spoof
[2021-07-02 04:40:59]: test detect | 13371337 | 0.4.2.0 | 262656 | 0 | 0 : was detected for Ang-NAME_Spoof
